year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,12,NK,Spirit Airlines,BNA,"Nashville, TN: Nashville International",187.00,40.00,11.81,0.08,19.87,0.63,7.62,2.00,0.00,2447.00,607.00,10.00,1208.00,25.00,597.00
2024,12,OH,PSA Airlines Inc.,BNA,"Nashville, TN: Nashville International",299.00,87.00,32.26,1.87,21.58,0.00,31.28,2.00,0.00,5646.00,1615.00,218.00,944.00,0.00,2869.00
2024,12,OO,SkyWest Airlines Inc.,BNA,"Nashville, TN: Nashville International",345.00,95.00,48.79,17.40,14.47,0.00,14.34,0.00,0.00,7396.00,3433.00,1800.00,915.00,0.00,1248.00
2024,12,PT,Piedmont Airlines,BNA,"Nashville, TN: Nashville International",21.00,5.00,0.20,0.00,1.10,0.00,3.70,1.00,0.00,307.00,3.00,0.00,33.00,0.00,271.00
2024,12,UA,United Air Lines Network,BNA,"Nashville, TN: Nashville International",448.00,92.00,36.54,0.92,22.76,0.00,31.78,2.00,0.00,4694.00,1520.00,132.00,750.00,0.00,2292.00
2024,12,WN,Southwest Airlines,BNA,"Nashville, TN: Nashville International",4301.00,803.00,228.66,6.43,104.31,6.16,457.44,8.00,1.00,44612.00,11030.00,559.00,4025.00,419.00,28579.00
2024,12,YV,Mesa Airlines Inc.,BNA,"Nashville, TN: Nashville International",68.00,9.00,2.56,0.92,2.83,0.00,2.70,1.00,0.00,695.00,117.00,76.00,88.00,0.00,414.00
2024,12,YX,Republic Airline,BNA,"Nashville, TN: Nashville International",566.00,97.00,24.43,0.65,27.72,0.00,44.20,0.00,0.00,5237.00,1302.00,82.00,1151.00,0.00,2702.00
2024,12,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",39.00,7.00,3.00,0.00,3.00,0.00,1.00,0.00,0.00,238.00,102.00,0.00,117.00,0.00,19.00
2024,12,AA,American Airlines Network,BNA,"Nashville, TN: Nashville International",574.00,143.00,51.46,4.56,26.69,0.00,60.29,10.00,1.00,10779.00,3350.00,1120.00,961.00,0.00,5348.00
2024,12,AS,Alaska Airlines Network,BNA,"Nashville, TN: Nashville International",91.00,17.00,5.50,0.00,6.20,0.00,5.30,0.00,0.00,499.00,162.00,0.00,182.00,0.00,155.00
2024,12,B6,JetBlue Airways,BNA,"Nashville, TN: Nashville International",78.00,15.00,4.56,1.00,2.71,0.00,6.73,1.00,1.00,1264.00,473.00,75.00,180.00,0.00,536.00
2024,12,DL,Delta Air Lines Network,BNA,"Nashville, TN: Nashville International",723.00,143.00,77.89,0.89,33.55,0.00,30.67,0.00,0.00,7069.00,4106.00,63.00,1429.00,0.00,1471.00
