,year,season,month_name,day,week_type,time_of_day,airline,flights,arr_del15,Arrival Flight Delays (%),Avg. arrival delay (min),cancelled,% cancelled,% diverted,% delayed due to carrier,% delayed due to weather,% delayed due to NAS,% delayed due to security,% delayed due to late aircraft
0,2023,Summer,July,Tuesday,weekday,Early Evening,Allegiant,3.0,3.0,100.0,111.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2023,Winter,February,Thursday,weekday,Afternoon,Frontier,2.0,2.0,100.0,30.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2,2023,Winter,December,Wednesday,weekday,Early Morning,United,1.0,1.0,100.0,37.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
3,2022,Winter,January,Saturday,weekend,Early Evening,Frontier,1.0,1.0,100.0,92.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
4,2023,Winter,February,Wednesday,weekday,Early Evening,Frontier,4.0,4.0,100.0,42.5,0.0,0.0,0.0,50.0,0.0,25.0,0.0,75.0
5,2022,Winter,December,Sunday,weekend,Early Morning,Frontier,4.0,4.0,100.0,40.25,0.0,0.0,0.0,75.0,25.0,25.0,0.0,0.0
6,2024,Winter,December,Monday,weekday,Evening,Frontier,1.0,1.0,100.0,216.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0
7,2023,Winter,December,Tuesday,weekday,Early Morning,United,1.0,1.0,100.0,395.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
8,2024,Winter,January,Thursday,weekday,Early Morning,United,1.0,1.0,100.0,143.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
9,2024,Winter,January,Sunday,weekend,Evening,Frontier,1.0,1.0,100.0,1196.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
10,2023,Winter,January,Wednesday,weekday,Evening,Spirit,1.0,1.0,100.0,56.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
11,2024,Winter,January,Thursday,weekday,Morning,Frontier,1.0,1.0,100.0,16.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
12,2023,Winter,December,Friday,weekday,Night,Frontier,1.0,1.0,100.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
13,2023,Winter,January,Sunday,weekend,Evening,Spirit,1.0,1.0,100.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
14,2024,Fall,October,Sunday,weekend,Early Evening,JetBlue,1.0,1.0,100.0,22.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
15,2024,Fall,September,Sunday,weekend,Early Evening,JetBlue,1.0,1.0,100.0,149.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
16,2024,Fall,October,Thursday,weekday,Early Evening,JetBlue,1.0,1.0,100.0,29.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
17,2024,Fall,October,Wednesday,weekday,Early Evening,JetBlue,1.0,1.0,100.0,444.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
